Team,Year,Conference,Subdivision
Rutgers (NJ),1869, Independent,No Classification
Rutgers (NJ),1870, Independent,No Classification
Rutgers (NJ),1871, Independent,No Classification
Rutgers (NJ),1872, Independent,No Classification
Rutgers (NJ),1873, Independent,No Classification
Rutgers (NJ),1874, Independent,No Classification
Rutgers (NJ),1875, Independent,No Classification
Rutgers (NJ),1876, Independent,No Classification
Rutgers (NJ),1877, Independent,No Classification
Rutgers (NJ),1878, Independent,No Classification
Massachusetts,1879, Independent,No Classification
Michigan,1879, Independent,No Classification
Navy (MD),1879, Independent,No Classification
Rutgers (NJ),1879, Independent,No Classification
Massachusetts,1880, Independent,No Classification
Michigan,1880, Independent,No Classification
Navy (MD),1880, Independent,No Classification
Rutgers (NJ),1880, Independent,No Classification
Kentucky,1881, Independent,No Classification
Massachusetts,1881, Independent,No Classification
Michigan,1881, Independent,No Classification
Navy (MD),1881, Independent,No Classification
Penn St.,1881, Independent,No Classification
Rutgers (NJ),1881, Independent,No Classification
Kentucky,1882, Independent,No Classification
Massachusetts,1882, Independent,No Classification
Michigan,1882, Independent,No Classification
Minnesota,1882, Independent,No Classification
Navy (MD),1882, Independent,No Classification
Northwestern (IL),1882, Independent,No Classification
Penn St.,1882, Independent,No Classification
Rutgers (NJ),1882, Independent,No Classification
Kentucky,1883, Independent,No Classification
Massachusetts,1883, Independent,No Classification
Michigan,1883, Independent,No Classification
Minnesota,1883, Independent,No Classification
Navy (MD),1883, Independent,No Classification
Northwestern (IL),1883, Independent,No Classification
Penn St.,1883, Independent,No Classification
Rutgers (NJ),1883, Independent,No Classification
Kentucky,1884, Independent,No Classification
Massachusetts,1884, Independent,No Classification
Michigan,1884, Independent,No Classification
Minnesota,1884, Independent,No Classification
Navy (MD),1884, Independent,No Classification
Northwestern (IL),1884, Independent,No Classification
Penn St.,1884, Independent,No Classification
Rutgers (NJ),1884, Independent,No Classification
California,1885, Independent,No Classification
Cincinnati (OH),1885, Independent,No Classification
Kentucky,1885, Independent,No Classification
Massachusetts,1885, Independent,No Classification
Michigan,1885, Independent,No Classification
Minnesota,1885, Independent,No Classification
Navy (MD),1885, Independent,No Classification
Northwestern (IL),1885, Independent,No Classification
Penn St.,1885, Independent,No Classification
Rutgers (NJ),1885, Independent,No Classification
California,1886, Independent,No Classification
Cincinnati (OH),1886, Independent,No Classification
Kentucky,1886, Independent,No Classification
Massachusetts,1886, Independent,No Classification
Michigan,1886, Independent,No Classification
Minnesota,1886, Independent,No Classification
Navy (MD),1886, Independent,No Classification
Northwestern (IL),1886, Independent,No Classification
Penn St.,1886, Independent,No Classification
Rutgers (NJ),1886, Independent,No Classification
California,1887, Independent,No Classification
Cincinnati (OH),1887, Independent,No Classification
Indiana,1887, Independent,No Classification
Kentucky,1887, Independent,No Classification
Massachusetts,1887, Independent,No Classification
Michigan,1887, Independent,No Classification
Minnesota,1887, Independent,No Classification
Navy (MD),1887, Independent,No Classification
Northwestern (IL),1887, Independent,No Classification
Notre Dame (IN),1887, Independent,No Classification
Penn St.,1887, Independent,No Classification
Purdue (IN),1887, Independent,No Classification
Rutgers (NJ),1887, Independent,No Classification
California,1888, Independent,No Classification
Cincinnati (OH),1888, Independent,No Classification
Duke (NC),1888, Independent,No Classification
Indiana,1888, Independent,No Classification
Kentucky,1888, Independent,No Classification
Massachusetts,1888, Independent,No Classification
Miami (OH),1888, Independent,No Classification
Michigan,1888, Independent,No Classification
Minnesota,1888, Independent,No Classification
Navy (MD),1888, Independent,No Classification
North Carolina,1888, Independent,No Classification
Northwestern (IL),1888, Independent,No Classification
Notre Dame (IN),1888, Independent,No Classification
Penn St.,1888, Independent,No Classification
Purdue (IN),1888, Independent,No Classification
Rutgers (NJ),1888, Independent,No Classification
Southern California,1888, Independent,No Classification
Virginia,1888, Independent,No Classification
Wake Forest (NC),1888, Independent,No Classification
California,1889, Independent,No Classification
Cincinnati (OH),1889, Independent,No Classification
Duke (NC),1889, Independent,No Classification
Indiana,1889, Independent,No Classification
Iowa,1889, Independent,No Classification
Kentucky,1889, Independent,No Classification
Massachusetts,1889, Independent,No Classification
Miami (OH),1889, Independent,No Classification
Michigan,1889, Independent,No Classification
Minnesota,1889, Independent,No Classification
Navy (MD),1889, Independent,No Classification
North Carolina,1889, Independent,No Classification
Northwestern (IL),1889, Independent,No Classification
Notre Dame (IN),1889, Independent,No Classification
Penn St.,1889, Independent,No Classification
Purdue (IN),1889, Independent,No Classification
Rutgers (NJ),1889, Independent,No Classification
Southern California,1889, Independent,No Classification
Syracuse (NY),1889, Independent,No Classification
Virginia,1889, Independent,No Classification
Wake Forest (NC),1889, Independent,No Classification
Washington,1889, Independent,No Classification
Wisconsin,1889, Independent,No Classification
Army (NY),1890, Independent,No Classification
California,1890, Independent,No Classification
Cincinnati (OH),1890, Independent,No Classification
Colorado,1890, Independent,No Classification
Duke (NC),1890, Independent,No Classification
Illinois,1890, Independent,No Classification
Indiana,1890, Indiana Intercollegiate Athletic Association,No Classification
Iowa,1890, Independent,No Classification
Kansas,1890, Kansas Collegiate Athletic Conference (1890-1927),No Classification
Kentucky,1890, Independent,No Classification
Massachusetts,1890, Independent,No Classification
Miami (OH),1890, Independent,No Classification
Michigan,1890, Independent,No Classification
Minnesota,1890, Independent,No Classification
Missouri,1890, Independent,No Classification
Navy (MD),1890, Independent,No Classification
Nebraska,1890, Independent,No Classification
North Carolina,1890, Independent,No Classification
Northwestern (IL),1890, Independent,No Classification
Notre Dame (IN),1890, Independent,No Classification
Ohio St.,1890, Independent,No Classification
Penn St.,1890, Independent,No Classification
Pittsburgh (PA),1890, Independent,No Classification
Purdue (IN),1890, Indiana Intercollegiate Athletic Association,No Classification
Rutgers (NJ),1890, Independent,No Classification
Southern California,1890, Independent,No Classification
Syracuse (NY),1890, Independent,No Classification
Vanderbilt (TN),1890, Independent,No Classification
Virginia,1890, Independent,No Classification
Wake Forest (NC),1890, Independent,No Classification
Washington,1890, Independent,No Classification
Wisconsin,1890, Independent,No Classification
Akron (OH),1891, Independent,No Classification
Army (NY),1891, Independent,No Classification
Auburn (AL),1891, Independent,No Classification
California,1891, Independent,No Classification
Cincinnati (OH),1891, Independent,No Classification
Colorado,1891, Independent,No Classification
Duke (NC),1891, Independent,No Classification
Eastern Michigan,1891, Independent,No Classification
Georgia,1891, Independent,No Classification
Illinois,1891, Illinois Intercollegiate Football League,No Classification
