"date","coach","coach2","coach_win","coach_margin","year"
-29659,"Hector W. Cowan","W.C. Dowd",0,-2,1888
-29659,"Hector W. Cowan","W.C. Riddick",0,-2,1888
-29619,"Dr. John F. Crowell","Hector W. Cowan",1,16,1888
-29464,"Hector W. Cowan","W.C. Dowd",1,33,1888
-29464,"Hector W. Cowan","W.C. Riddick",1,33,1888
-29457,"Dr. John F. Crowell","Hector W. Cowan",1,8,1888
-29436,"Dr. John F. Crowell","W.C. Dowd",0,-32,1888
-29436,"Dr. John F. Crowell","W.C. Riddick",0,-32,1888
-29254,"Dr. John F. Crowell","W.C. Riddick",1,4,1889
-28901,"Tom Eck","Ted Mestre",1,63,1890
-28894,"Scott Williams","Clinton L. ""Clint"" Hare",0,-62,1890
-28558,"Ed ""Dad"" Moulton","Herb Alward",1,14,1891
-28551,"E.M. Hopkins","Hal Reed",1,14,1891
-28541,"William P. Graves","E. Walter Sikes",1,2,1891
-28537,"Henry L. ""Doc"" Williams","William A. ""Billy"" Reynolds",0,-21,1891
-28537,"Billy Herod","Knowlton L. ""Snake"" Ames",0,-60,1891
-28208,"E.K. Hall","Knowlton L. ""Snake"" Ames",0,-6,1892
-28201,"Frank Barbour","Frank Crawford",1,4,1892
-28199,"Frank Barbour","No Coach",0,-8,1892
-28197,"Knowlton L. ""Snake"" Ames","Frank Crawford",1,28,1892
-28194,"Frank Cook","Jack Ryder",0,-62,1892
-28192,"E.K. Hall","J.S. Williams",0,-6,1892
-28192,"Frank Barbour","Knowlton L. ""Snake"" Ames",0,-24,1892
-28189,"E.K. Hall","A.W. Shepard",0,-22,1892
-28187,"No Coach","Frank Crawford",1,28,1892
-28184,"E.K. Hall","Frank Crawford",0,0,1892
-28180,"E.A. Dalton","A.W. Shepard",0,-20,1892
-28180,"E.H. Jones","J.S. Williams",0,-1,1892
-28178,"E.A. Dalton","E.H. Jones",0,-24,1892
-28173,"A.W. Shepard","J.S. Williams",1,12,1892
-28166,"Ernest E. West","Elliott H. Jones",0,-10,1892
-28161,"E.A. Dalton","J.S. Williams",0,0,1892
-28161,"A.W. Shepard","E.H. Jones",1,8,1892
-28160,"D.M. Balliet","Ernest E. West",1,26,1892
-28160,"George Petrie","Ernest E. West",1,26,1892
-28159,"Dennis M. Michie","Benjamin L. ""Ben"" Crosby",0,-8,1892
-28071,"Eugene Beauharnais Beaumont","D.M. Balliet",0,-10,1892
-28071,"Eugene Beauharnais Beaumont","George Petrie",0,-10,1892
-27837,"A.W. Shepard","Wallie Winter",0,-6,1893
-27833,"No Coach","E. Walter Sikes",1,6,1893
-27830,"E.K. Hall","Paul Noyes",0,0,1893
-27823,"Frank Barbour","Wallie Winter",0,-14,1893
-27821,"Wallie Winter","Paul Noyes",1,16,1893
-27816,"Ernest Brown","Frank O. Spain & Lt. Leonard Wood",0,-22,1893
-27816,"Ben Donnelly","A.W. Shepard",0,-11,1893
-27816,"Frank Barbour","Parke H. Davis",0,-16,1893
-27814,"G.H. Harvey","W.J. Keller",1,20,1893
-27814,"George W. Hoskins","Anson F. Harrold",1,32,1893
-27809,"John W. Heisman","Jack Ryder",0,-14,1893
-27809,"Frank Barbour","D.M. Balliet",1,38,1893
-27809,"Wallie Winter","Parke H. Davis",1,40,1893
-27809,"Harry Orman Robinson","Frank Crawford",1,12,1893
-27807,"Ernest Brown","W.J. Keller",0,-35,1893
-27802,"Ben Donnelly","Harry Orman Robinson",1,22,1893
-27802,"A.W. Shepard","Frank Crawford",1,18,1893
-27802,"Frank Barbour","Paul Noyes",1,66,1893
-27802,"D.M. Balliet","Parke H. Davis",0,-6,1893
-27795,"E.K. Hall","D.M. Balliet",0,0,1893
-27795,"A.W. Shepard","Frank Barbour",0,-22,1893
-27795,"Dr. Charles E. Coates","T.L. Bayne",0,-34,1893
-27790,"Eli Abbott","G.H. Harvey",0,-24,1893
-27790,"Walt W. ""Pudge"" Heffelfinger","Clifford Douglas ""Pop"" Bliss",0,0,1893
-27790,"Ben Donnelly","Frank Crawford",0,-2,1893
-27790,"A.W. Shepard","Harry Orman Robinson",0,-8,1893
-27788,"Laurence T. Bliss","John A. ""Josh"" Hartwell",0,-2,1893
