"date","coach","coach2","coach_win","coach_margin","year","han"
13027,"Dirk Koetter","Bobby Wallace",1,47,2005,"Home"
13027,"Jim Hofher","Randy Edsall",0,-38,2005,"Home"
13027,"George O'Leary","Steve Spurrier",0,-9,2005,"Home"
13027,"Mark Dantonio","Jeff Genyk",1,2,2005,"Home"
13027,"Art Briles","Mike Bellotti",0,-14,2005,"Away"
13027,"Nick Holt","Bill Doba",0,-12,2005,"Home"
13027,"Glen Mason","Steve Kragthorpe",1,31,2005,"Away"
13027,"Bobby Johnson","Jim Grobe",1,4,2005,"Away"
13028,"Mike Stoops","Kyle Whittingham",0,-3,2005,"Home"
13028,"Brian Kelly","Terry Hoeppner",0,-7,2005,"Away"
13029,"Fisher DeBerry","Tyrone ""Ty"" Willingham",1,3,2005,"Away"
13029,"Mike Shula","Andy McCollum",1,19,2005,"Home"
13029,"Steve Roberts","Gary Pinkel",0,-27,2005,"Neutral"
13029,"Tommy Tuberville","Chan Gailey",0,-9,2005,"Away"
13029,"Brady Hoke","Kirk Ferentz",0,-56,2005,"Home"
13029,"Guy Morriss","Phil Bennett",1,5,2005,"Away"
13029,"Dan Hawkins","Mark Richt",0,-35,2005,"Home"
13029,"Tom O'Brien","Bronco Mendenhall",1,17,2005,"Away"
13029,"Gregg Brandon","Barry Alvarez",0,-14,2005,"Home"
13029,"Tommy Bowden","Dennis Franchione",1,1,2005,"Home"
13029,"Gary Barnett","Sonny Lubick",1,3,2005,"Home"
13029,"Mike Hankwitz","Sonny Lubick",1,3,2005,"Home"
13029,"Ted Roof","Skip Holtz",0,-3,2005,"Home"
13029,"Urban Meyer","Joe Glenn",1,18,2005,"Home"
13029,"Howard Schnellenberger","Mark Mangino",0,-11,2005,"Home"
13029,"Don Strock","Bill Snyder",0,-14,2005,"Home"
13029,"June Jones","Pete Carroll",0,-46,2005,"Away"
13029,"Ron Zook","Greg Schiano",1,3,2005,"Home"
13029,"Doug Martin","John L. Smith",0,-35,2005,"Home"
13029,"Rickey Bustle","Mack Brown",0,-57,2005,"Home"
13029,"Ralph Friedgen","Paul Johnson",1,3,2005,"Neutral"
13029,"Shane Montgomery","Jim Tressel",0,-20,2005,"Home"
13029,"Lloyd Carr","Joe Novak",1,16,2005,"Home"
13029,"Hal Clay Mumme","Mike Price",0,-17,2005,"Away"
13029,"Randy Walker","Frank Solich",1,24,2005,"Home"
13029,"Charlie Weis","Dave Wannstedt",1,21,2005,"Away"
13029,"Bob Stoops","Gary Patterson",0,-7,2005,"Away"
13029,"Joe Paterno","Jim Leavitt",1,10,2005,"Home"
13029,"Tom Craft","Karl Dorrell",0,-23,2005,"Away"
13029,"Al Groh","Bill Cubit",1,12,2005,"Home"
13030,"Rich Brooks","Bobby ""Bob"" Petrino",0,-7,2005,"Away"
13030,"Chuck Amato","Frank Beamer",0,-4,2005,"Away"
13030,"Greg Robinson","Rich Rodriguez",0,-8,2005,"Away"
13031,"Bobby Bowden","Larry Coker",1,3,2005,"Home"
13031,"Tommy West","Ed Orgeron",0,-4,2005,"Away"
13031,"Mike Sanford","Rocky Long",0,-2,2005,"Home"
13034,"Howard Schnellenberger","Mike Gundy",0,-20,2005,"Home"
13035,"Chris Ault","Bill Doba",0,-34,2005,"Away"
13035,"Frank Solich","Dave Wannstedt",1,6,2005,"Home"
13036,"Fisher DeBerry","Tom Craft",1,12,2005,"Home"
13036,"J.D. Brookhart","Joe Tiller",0,-25,2005,"Home"
13036,"Mike Shula","Jeff Bower",1,9,2005,"Home"
13036,"Jerry Moore","Mark Mangino",0,-28,2005,"Home"
13036,"Dirk Koetter","Les Miles",0,-4,2005,"Away"
13036,"Houston Nutt","Bobby Johnson",0,-4,2005,"Away"
13036,"Bobby Ross","Tom O'Brien",0,-37,2005,"Home"
13036,"Tommy Tuberville","Sylvester ""Sly"" Croom",1,28,2005,"Home"
13036,"Brady Hoke","Gregg Brandon",0,-9,2005,"Away"
13036,"Dan Hawkins","Mike Riley",0,-3,2005,"Home"
13036,"Jim Hofher","Greg Robinson",0,-31,2005,"Home"
13036,"Jeff Tedford","Tyrone ""Ty"" Willingham",1,39,2005,"Away"
13036,"Brian Kelly","Shane Montgomery",1,1,2005,"Away"
13036,"Mark Dantonio","Joe Paterno",0,-18,2005,"Home"
13036,"Tommy Bowden","Ralph Friedgen",1,4,2005,"Away"
13036,"Gary Barnett","Hal Clay Mumme",1,39,2005,"Home"
13036,"Mike Hankwitz","Hal Clay Mumme",1,39,2005,"Home"
13036,"Sonny Lubick","Glen Mason",0,-32,2005,"Home"
