"Coach","Year","Rating","Rank"
"A. Earle ""Greasy"" Neale",1923,1503.54325988661,81
"A. Earle ""Greasy"" Neale",1924,1515.99617665608,35
"A. Earle ""Greasy"" Neale",1925,1552.26648093922,12
"A. Earle ""Greasy"" Neale",1926,1545.46872178129,13
"A. Earle ""Greasy"" Neale",1927,1510.80464138129,43
"A. Earle ""Greasy"" Neale",1928,1460.27298106096,848
"A. Ellet Hitchner",1904,NA,NA
"A. Flack",1916,1489.14267290945,575
"A. King Dickson",1899,1480.5066770497,190
"A.A. Booth",1904,1490.84575848028,293
"A.A. Ewing",1894,1490,65
"A.B. Dillie",1914,NA,NA
"A.B. Dillie",1915,NA,NA
"A.B. Dillie",1916,NA,NA
"A.C. Hoffman",1913,1462.02977050264,550
"A.D. Kirwan",1938,1458.69754387047,988
"A.D. Kirwan",1939,1498.05931985353,884
"A.D. Kirwan",1940,1484.80900441034,974
"A.D. Kirwan",1941,1470.48051770761,1014
"A.D. Kirwan",1942,1422.33608042942,1073
"A.D. Kirwan",1944,1423.50622695513,1094
"A.G. ""Butch"" Scanlon",1918,1490,611
"A.G. ""Butch"" Scanlon",1919,1467.81671335163,678
"A.G. ""Butch"" Scanlon",1920,1442.626684687,715
"A.J. Nowak",1929,1492.0484797933,797
"A.J. Nowak",1930,1475.94446305278,859
"A.J. Sharadin",1912,1489.71614390797,490
"A.L. ""Red"" Swanson",1950,1499.35523658718,1016
"A.L. Cornell",1908,1481.35803872092,428
"A.L. McRae",1890,NA,NA
"A.L. Williams",1983,1459.25265845387,1628
"A.L. Williams",1984,1468.30588304165,1627
"A.L. Williams",1985,1465.99167109721,1639
"A.L. Williams",1986,1469.61887777164,1653
"A.M. ""Mike"" Michalske",1942,1469.95092103807,1047
"A.M. ""Mike"" Michalske",1943,1487.73191040336,1020
"A.M. ""Mike"" Michalske",1944,1498.20133153279,956
"A.M. ""Mike"" Michalske",1945,1479.30183069481,1069
"A.M. ""Mike"" Michalske",1946,1441.60735446265,1121
"A.P. Hall, Jr.",1908,1471.13263022041,439
"A.R. ""Bert"" Kennedy",1904,1546.80546316202,8
"A.R. ""Bert"" Kennedy",1905,1558.05311852539,7
"A.R. ""Bert"" Kennedy",1906,1552.92315941807,6
"A.R. ""Bert"" Kennedy",1907,1554.79597368128,4
"A.R. ""Bert"" Kennedy",1908,1582.90801664671,2
"A.R. ""Bert"" Kennedy",1909,1582.2167382506,1
"A.R. ""Bert"" Kennedy",1910,1546.6745770603,5
"A.S. Jeffs",1899,NA,NA
"A.T. Myers",1909,1499.49853441661,273
"A.W. ""Jub"" Ehrsam",1897,NA,NA
"A.W. Farwick",1932,1499.17222163514,757
"A.W. Ristine",1902,1481.39138766551,268
"A.W. Ristine",1903,1477.82754571486,301
"A.W. Ristine",1904,1466.54465666672,339
"A.W. Ristine",1905,1450.41958051692,366
"A.W. Ristine",1906,1477.85791398771,376
"A.W. Shepard",1892,1538.34566397029,1
