Coach,Year,Rating,Rank,Team,Win,Loss,Tie,Pct,PF,PA,Delta,Job_End_Category,Job_End_Performance,avg_team_elo,resid_elo,years_coached,Max,Num_Teams
Adam Scheier,2013,1549.0891190763,55,Bowling Green (OH),0,1,0,0,27,30,-3,6,0,1507.1443884014118,41.944730674888206,0,0,1
Al Golden,2006,1414.89715415253,1962,Temple (PA),1,11,0,0.08333,131,496,-365,2,0,1472.2823532112623,-57.38519905873227,0,9,2
Al Golden,2007,1413.47295030357,1979,Temple (PA),4,8,0,0.33333,197,315,-118,2,0,1472.2823532112623,-58.809402907692174,1,9,2
Al Golden,2008,1429.62593448334,1978,Temple (PA),5,7,0,0.41667,281,277,4,2,0,1472.2823532112623,-42.6564187279223,2,9,2
Al Golden,2009,1508.11728649447,83,Temple (PA),9,4,0,0.69231,384,290,94,2,0,1472.2823532112623,35.83493328320765,3,9,2
Al Golden,2010,1506.88094978459,90,Temple (PA),8,4,0,0.66667,300,229,71,2,0,1472.2823532112623,34.59859657332777,4,9,2
Al Golden,2011,1502.63718007277,109,Miami (FL),6,6,0,0.5,318,241,77,5,1,1542.5784249713479,-39.94124489857791,5,9,2
Al Golden,2012,1527.61674491005,78,Miami (FL),7,5,0,0.58333,377,366,11,5,1,1542.5784249713479,-14.961680061297784,6,9,2
Al Golden,2013,1559.21322198142,43,Miami (FL),9,4,0,0.69231,440,348,92,5,1,1542.5784249713479,16.634797010072134,7,9,2
Al Golden,2014,1517.6038065983,84,Miami (FL),6,7,0,0.46154,380,316,64,5,1,1542.5784249713479,-24.97461837304786,8,9,2
Al Golden,2015,1537.15639879585,62,Miami (FL),4,3,0,0.57143,202,194,8,5,1,1542.5784249713479,-5.4220261754978765,9,9,2
Al Groh,1981,1465.99239027068,1587,Wake Forest (NC),4,7,0,0.36364,217,365,-148,NA,NA,1472.7388514658278,-6.746461195147731,0,14,2
Al Groh,1982,1428.14889965323,1633,Wake Forest (NC),3,8,0,0.27273,200,322,-122,NA,NA,1472.7388514658278,-44.58995181259775,1,14,2
Al Groh,1983,1415.27247222384,1658,Wake Forest (NC),4,7,0,0.36364,257,281,-24,NA,NA,1472.7388514658278,-57.46637924198785,2,14,2
Al Groh,1984,1442.44669287111,1653,Wake Forest (NC),6,5,0,0.54545,205,232,-27,NA,NA,1472.7388514658278,-30.292158594717876,3,14,2
Al Groh,1985,1423.94044101764,1681,Wake Forest (NC),4,7,0,0.36364,212,249,-37,NA,NA,1472.7388514658278,-48.798410448187724,4,14,2
Al Groh,1986,1441.27356141562,1683,Wake Forest (NC),5,6,0,0.45455,325,295,30,NA,NA,1472.7388514658278,-31.46529005020784,5,14,2
Al Groh,2001,1499.28785196613,1712,Virginia,5,7,0,0.41667,249,331,-82,5,1,1485.5861684871072,13.701683479022677,6,14,2
Al Groh,2002,1547.77680460692,50,Virginia,9,5,0,0.64286,402,348,54,5,1,1485.5861684871072,62.19063611981278,7,14,2
Al Groh,2003,1567.91425257921,36,Virginia,8,5,0,0.61538,364,265,99,5,1,1485.5861684871072,82.3280840921027,8,14,2
Al Groh,2004,1576.04904832979,28,Virginia,8,4,0,0.66667,363,212,151,5,1,1485.5861684871072,90.4628798426827,9,14,2
Al Groh,2005,1567.94841578708,31,Virginia,7,5,0,0.58333,320,279,41,5,1,1485.5861684871072,82.36224729997275,10,14,2
Al Groh,2006,1525.36788533131,63,Virginia,5,7,0,0.41667,181,214,-33,5,1,1485.5861684871072,39.78171684420272,11,14,2
Al Groh,2007,1567.44252908905,32,Virginia,9,4,0,0.69231,317,256,61,5,1,1485.5861684871072,81.8563606019427,12,14,2
Al Groh,2008,1512.74077243739,74,Virginia,5,7,0,0.41667,193,260,-67,5,1,1485.5861684871072,27.154603950282763,13,14,2
Al Groh,2009,1471.57695692494,1954,Virginia,3,9,0,0.25,232,316,-84,5,1,1485.5861684871072,-14.009211562167138,14,14,2
Alex Wood,2014,1471.7026112038,2044,Buffalo (NY),2,2,0,0.5,124,102,22,6,0,1471.7649977837323,-0.06238657993230845,0,0,1
