"Coach","Year","Team","Rating","Rank","avg_team_elo","resid_elo","years_coached"
"Adam Scheier",2013,"Bowling Green (OH)",1490.07693571516,524,1502.16618995754,-12.089254242386,0
"Al Golden",2006,"Temple (PA)",1423.07206670805,493,1464.37664988047,-41.3045831724257,0
"Al Golden",2007,"Temple (PA)",1424.90178501071,511,1464.37664988047,-39.4748648697628,1
"Al Golden",2008,"Temple (PA)",1436.86897992027,510,1464.37664988047,-27.5076699602005,2
"Al Golden",2009,"Temple (PA)",1511.08540309104,73,1464.37664988047,46.7087532105622,3
"Al Golden",2010,"Temple (PA)",1526.66662507735,62,1464.37664988047,62.2899751968762,4
"Al Golden",2011,"Miami (FL)",1512.67444846853,76,1559.45787335731,-46.7834248887818,0
"Al Golden",2012,"Miami (FL)",1524.38429708253,71,1559.45787335731,-35.0735762747811,1
"Al Golden",2013,"Miami (FL)",1550.27207284915,45,1559.45787335731,-9.18580050816036,2
"Al Golden",2014,"Miami (FL)",1519.7780417929,75,1559.45787335731,-39.6798315644101,3
"Al Golden",2015,"Miami (FL)",1520.06357435392,73,1559.45787335731,-39.394299003397,4
"Al Groh",1981,"Wake Forest (NC)",1464.06488749562,164,1479.3154416641,-15.2505541684791,0
"Al Groh",1982,"Wake Forest (NC)",1424.09520583265,177,1479.3154416641,-55.2202358314453,1
"Al Groh",1983,"Wake Forest (NC)",1409.70176292936,193,1479.3154416641,-69.6136787347357,2
"Al Groh",1984,"Wake Forest (NC)",1435.8062076244,202,1479.3154416641,-43.5092340396995,3
"Al Groh",1985,"Wake Forest (NC)",1417.71784566768,218,1479.3154416641,-61.5975959964169,4
"Al Groh",1986,"Wake Forest (NC)",1435.65606273714,231,1479.3154416641,-43.6593789269546,5
"Al Groh",2001,"Virginia",1488.15031428036,353,1504.58383248376,-16.4335182033965,0
"Al Groh",2002,"Virginia",1541.35192958423,47,1504.58383248376,36.7680971004704,1
"Al Groh",2003,"Virginia",1559.29679821565,40,1504.58383248376,54.7129657318937,2
"Al Groh",2004,"Virginia",1570.99480698682,28,1504.58383248376,66.4109745030607,3
"Al Groh",2005,"Virginia",1564.80853997044,31,1504.58383248376,60.2247074866791,4
"Al Groh",2006,"Virginia",1523.90087367424,59,1504.58383248376,19.3170411904866,5
"Al Groh",2007,"Virginia",1568.70549370786,30,1504.58383248376,64.1216612241019,6
"Al Groh",2008,"Virginia",1516.10741437283,66,1504.58383248376,11.5235818890771,7
"Al Groh",2009,"Virginia",1472.79859056895,487,1504.58383248376,-31.7852419148105,8
"Al Kincaid",1981,"Wyoming",1498.35610596649,98,1484.4392101264,13.9168958400917,0
"Al Kincaid",1982,"Wyoming",1499.25811105996,94,1484.4392101264,14.8189009335617,1
"Al Kincaid",1983,"Wyoming",1520.56492484037,16,1484.4392101264,36.125714713969,2
"Al Kincaid",1984,"Wyoming",1515.63959079304,20,1484.4392101264,31.2003806666423,3
"Al Kincaid",1985,"Wyoming",1492.47455488921,170,1484.4392101264,8.03534476281288,4
"Al Kincaid",1990,"Arkansas St.",1489.64694501284,237,1476.34665775422,13.3002872586151,0
"Al Kincaid",1991,"Arkansas St.",1502.45651884669,64,1476.34665775422,26.1098610924716,1
"Al Luginbill",1989,"San Diego St. (CA)",1482.7821619103,241,1491.34031100087,-8.55814909056812,0
