"Coach","Year","Rating","Rank"
"Adam Scheier",2013,1548.95198906228,53
"Al Golden",2006,1411.97521171724,130
"Al Golden",2007,1409.62522644975,150
"Al Golden",2008,1426.55443551771,153
"Al Golden",2009,1505.73496508503,78
"Al Golden",2010,1505.22990953002,83
"Al Golden",2011,1501.20522975883,106
"Al Golden",2012,1526.42326788838,77
"Al Golden",2013,1558.37869923241,43
"Al Golden",2014,1516.94858828481,86
"Al Golden",2015,1536.66363359518,62
"Al Groh",2005,1519.16495788417,37
"Al Groh",2006,1494.14776043022,70
"Al Groh",2007,1548.13820120153,35
"Al Groh",2008,1499.54275539324,86
"Al Groh",2009,1462.89351941534,138
"Alex Wood",2014,1471.66874287293,232
"Andy McCollum",2005,1471.04121584566,94
"Art Briles",2005,1488.66805128741,72
"Art Briles",2006,1536.42187444177,38
"Art Briles",2007,1525.01361663751,50
"Art Briles",2008,1482.84589320552,106
"Art Briles",2009,1448.80980192846,157
"Art Briles",2010,1488.89014067516,116
"Art Briles",2011,1564.3532587369,37
"Art Briles",2012,1581.65732629394,27
"Art Briles",2013,1622.98158738214,18
"Art Briles",2014,1662.69821410113,5
"Art Briles",2015,1649.26760627731,9
"Barney Cotton",2014,1528.86935931622,75
"Barry Alvarez",2005,1559.27213248537,13
"Barry Alvarez",2012,1532.72711502828,66
"Barry Alvarez",2014,1594.59520658244,29
"Bill Blankenship",2011,1525.65750888628,63
"Bill Blankenship",2012,1564.02799104782,37
"Bill Blankenship",2013,1471.20768308361,217
"Bill Blankenship",2014,1416.77559191265,292
"Bill Callahan",2005,1539.06018766819,25
"Bill Callahan",2006,1553.10298208252,24
"Bill Callahan",2007,1505.79752696852,68
"Bill Cubit",2005,1516.1714817,42
"Bill Cubit",2006,1516.05334765047,51
"Bill Cubit",2007,1474.33713319728,106
"Bill Cubit",2008,1501.32826221304,82
"Bill Cubit",2009,1460.07238950046,146
"Bill Cubit",2010,1456.0692738044,170
"Bill Cubit",2011,1451.67809382989,201
"Bill Cubit",2012,1414.63907336955,249
"Bill Cubit",2015,1440.28474777743,285
"Bill Curry",2010,1475.20961419948,143
"Bill Curry",2011,1458.02985997556,193
"Bill Curry",2012,1434.58828294525,232
"Bill Doba",2005,1466.25103926238,100
"Bill Doba",2006,1481.48475101672,85
"Bill Doba",2007,1490.17620698955,89
"Bill Lynch",2007,1497.65464229083,81
"Bill Lynch",2008,1432.18076770413,150
"Bill Lynch",2009,1422.46386854127,175
"Bill Lynch",2010,1438.29787956191,186
"Bill O'Brien",2012,1563.70037434074,38
"Bill O'Brien",2013,1553.30378614245,48
"Bill Snyder",2005,1481.33208696937,85
"Bill Snyder",2009,1485.01893730347,109
"Bill Snyder",2010,1490.03759502353,113
"Bill Snyder",2011,1574.10969881154,33
"Bill Snyder",2012,1630.78043470098,13
"Bill Snyder",2013,1616.60583183535,20
"Bill Snyder",2014,1616.2007525087,16
"Bill Snyder",2015,1555.49347363061,48
"Bill Stewart",2007,1579.59719837607,24
"Bill Stewart",2008,1582.27023746391,21
"Bill Stewart",2009,1579.54026108514,23
"Bill Stewart",2010,1585.01781990743,25
"Blake Anderson",2014,1492.09860707186,174
"Blake Anderson",2015,1527.58695370046,76
"Bo Pelini",2008,1560.43594236494,31
"Bo Pelini",2009,1585.05043695529,20
"Bo Pelini",2010,1598.51372105096,19
"Bo Pelini",2011,1605.51868241441,21
"Bo Pelini",2012,1612.07734282436,17
"Bo Pelini",2013,1593.11342944065,26
"Bo Pelini",2014,1577.14915857965,36
"Bob Davie",2012,1428.88561255107,234
"Bob Davie",2013,1399.80965573464,283
"Bob Davie",2014,1405.33885763304,300
"Bob Davie",2015,1447.40102450868,277
"Bob Diaco",2014,1411.48077515936,294
"Bob Diaco",2015,1452.58717493046,273
"Bob Gregory",2013,1509.04459527259,99
"Bob Stoops",2005,1542.41183930547,23
