Team,Year,attend,n345,avgstar,pf,pa,confcham,natchamp,yrsrank,wksrank,finpoll,numbowls,expec
Air Force (CO),2005,1.381593104,0,2.852080518,3.264350584,5.214203314,0,0,0,0,0,0.215959802,-1.043948641
Akron (OH),2005,0.418267799,0.523563685,4.126009817,3.036835241,4.751050584,0.135403185,0,0,0,0,0,-0.822704791
Alabama,2005,3.110917154,3.534054871,5.761202647,2.601588496,1.912372562,0,0,2.950121201,2.346727775,2.382038443,4.103236243,1.583778135
Arizona,2005,2.058624026,2.748709344,6.027396829,2.49277681,4.332719086,0,0,1.024347639,0.195560648,0,0.323939703,0.454004291
Arizona St.,2005,2.34829742,2.225145659,5.361911375,4.372251389,5.36360742,0,0,1.761877939,1.173363888,0,0.97181911,0.437727753
Arkansas,2005,2.445098404,2.486927502,5.704161037,2.799427925,4.048851284,0,0,0,0,0,2.267577924,0.769579393
Arkansas St.,2005,0.705790913,0.261781842,3.973898856,2.908239612,4.526944424,1.08322548,0,0,0,0,0,-0.79791483
Army (NY),2005,1.187837544,0,3.802774025,2.176233723,4.392480728,0,0,0,0,0,0.107979901,-0.712426422
Auburn (AL),2005,3.231601602,2.356036581,6.065424569,3.818300987,2.778916379,2.031047776,0,2.417460428,2.346727775,2.382038443,1.511718616,1.242689669
Ball St. (IN),2005,0.497367374,0,3.802774025,2.304829352,6.215210826,0,0,0,0,0,0,-0.979577279
Baylor (TX),2005,1.493638035,0.785345527,4.468259479,2.334505266,4.347659496,0,0,0,0,0,0.755859308,-0.251520584
Boise St. (ID),2005,1.156236112,1.570691054,4.63938431,4.639334618,4.736110173,1.624838221,0,0.655582489,0.391121296,0,0.323939703,-0.329755374
Boston College (MA),2005,1.513988897,1.439800133,5.342897505,3.066511155,2.853618432,0,0,1.10629545,2.737849071,2.382038443,0.431919605,0.338997752
Bowling Green (OH),2005,0.573241529,0,3.802774025,3.679813386,4.541884835,0,0,0.36876515,0.195560648,0,0,-0.883564768
Brigham Young (UT),2005,2.234908564,0.523563685,4.392203998,3.917220701,5.244084135,0,0,0,0,0,0.215959802,-0.210858246
Buffalo (NY),2005,0.342278451,0,3.802774025,1.088116861,4.885514279,0,0,0,0,0,0,-0.974874795
California,2005,2.318347096,2.879600265,6.426688102,3.90732873,3.794864303,0,0,1.516034506,1.955606479,2.382038443,0.863839209,0.954413786
Central Florida,2005,1.092879657,0.523563685,4.106995947,3.689705358,5.572773169,0.135403185,0,0,0,0,0.107979901,-0.659080421
Central Michigan,2005,0.61325209,0.130890921,3.878829505,2.571912582,3.884506767,0,0,0,0,0,0,-0.837758205
Cincinnati (OH),2005,0.86099503,0.130890921,3.878829505,1.899258522,5.154441671,0,0,0,0,0,0.215959802,-0.777035833
Clemson (SC),2005,3.003940739,2.748709344,5.856271998,3.125862984,3.152426645,0,0,1.966747467,1.368924536,2.382038443,1.727678418,1.036957671
