rating,coach_year,Coach,Year,Team,avg_team_rating
-0.19351405955304055,Adam Scheier:2013,Adam Scheier,2013,Bowling Green (OH),0.16610091723279274
-0.6569385353689142,Al Golden:2006,Al Golden,2006,Temple (PA),-0.6818022874971966
-0.07988880432056775,Al Golden:2007,Al Golden,2007,Temple (PA),-0.6818022874971966
0.10046778283271096,Al Golden:2008,Al Golden,2008,Temple (PA),-0.6818022874971966
0.7061804070834896,Al Golden:2009,Al Golden,2009,Temple (PA),-0.6818022874971966
0.6264591790725935,Al Golden:2010,Al Golden,2010,Temple (PA),-0.6818022874971966
-0.46310150689418045,Al Golden:2011,Al Golden,2011,Miami (FL),0.7431752153475749
-0.2827928668691587,Al Golden:2012,Al Golden,2012,Miami (FL),0.7431752153475749
-0.040970024417077505,Al Golden:2013,Al Golden,2013,Miami (FL),0.7431752153475749
-0.5661744694399984,Al Golden:2014,Al Golden,2014,Miami (FL),0.7431752153475749
-0.22737067072049902,Al Golden:2015,Al Golden,2015,Miami (FL),0.7431752153475749
-0.16210657668653078,Al Groh:1981,Al Groh,1981,Wake Forest (NC),-0.37617366173480205
-0.3495159235758249,Al Groh:1982,Al Groh,1982,Wake Forest (NC),-0.37617366173480205
-0.16210657668653078,Al Groh:1983,Al Groh,1983,Wake Forest (NC),-0.37617366173480205
0.2045086856572662,Al Groh:1984,Al Groh,1984,Wake Forest (NC),-0.37617366173480205
-0.16210657668653078,Al Groh:1985,Al Groh,1985,Wake Forest (NC),-0.37617366173480205
0.02205270361391053,Al Groh:1986,Al Groh,1986,Wake Forest (NC),-0.37617366173480205
-0.11410627043187083,Al Groh:2001,Al Groh,2001,Virginia,-0.2655727119353806
0.3863839643723133,Al Groh:2002,Al Groh,2002,Virginia,-0.2655727119353806
0.31360737067981226,Al Groh:2003,Al Groh,2003,Virginia,-0.2655727119353806
0.4100342660080748,Al Groh:2004,Al Groh,2004,Virginia,-0.2655727119353806
0.23483773967691207,Al Groh:2005,Al Groh,2005,Virginia,-0.2655727119353806
-0.11410627043187074,Al Groh:2006,Al Groh,2006,Virginia,-0.2655727119353806
0.4823579149126548,Al Groh:2007,Al Groh,2007,Virginia,-0.2655727119353806
-0.11410627043187092,Al Groh:2008,Al Groh,2008,Virginia,-0.2655727119353806
-0.47040949060347964,Al Groh:2009,Al Groh,2009,Virginia,-0.2655727119353806
0.18474037538896643,Alex Wood:2014,Alex Wood,2014,Buffalo (NY),-0.852069466534139
-0.4307561305046244,Andy McCollum:1999,Andy McCollum,1999,Middle Tennessee St.,-0.20805337779654678
0.12032814280115199,Andy McCollum:2000,Andy McCollum,2e3,Middle Tennessee St.,-0.20805337779654678
0.4877625971663979,Andy McCollum:2001,Andy McCollum,2001,Middle Tennessee St.,-0.20805337779654678
-0.3201344721446756,Andy McCollum:2002,Andy McCollum,2002,Middle Tennessee St.,-0.20805337779654678
-0.3201344721446756,Andy McCollum:2003,Andy McCollum,2003,Middle Tennessee St.,-0.20805337779654678
-0.06185524705470207,Andy McCollum:2004,Andy McCollum,2004,Middle Tennessee St.,-0.20805337779654678
-0.245039473454256,Andy McCollum:2005,Andy McCollum,2005,Middle Tennessee St.,-0.20805337779654678
-0.14908095378261896,Art Briles:2003,Art Briles,2003,Houston (TX),0.28091521169660705
-0.6714292194143625,Art Briles:2004,Art Briles,2004,Houston (TX),0.28091521169660705
-0.22457656400554077,Art Briles:2005,Art Briles,2005,Houston (TX),0.28091521169660705
0.25352272121078817,Art Briles:2006,Art Briles,2006,Houston (TX),0.28091521169660705
0.13085642883044032,Art Briles:2007,Art Briles,2007,Houston (TX),0.28091521169660705
-0.3882727115168344,Art Briles:2008,Art Briles,2008,Baylor (TX),-0.07575632780132946
